Crane_ID,Vibration_Levels,Fuel_Consumption_Rate,Engine_Temperature,Operational_Hours,Remaining_Useful_Lifetime,Component,Component_Health
CRN0017,2.97,28.68,75.19,12203,1140.6,Structural Components,Critical
CRN0017,2.97,28.68,75.19,12203,1140.6,Control System,Critical
CRN0018,5.63,19.98,86.96,6412,1563.45,Hydraulic System,Critical
CRN0018,5.63,19.98,86.96,6412,1563.45,Engine,Critical
CRN0018,5.63,19.98,86.96,6412,1563.45,Structural Components,Critical
CRN0018,5.63,19.98,86.96,6412,1563.45,Control System,Critical
CRN0019,3.18,33.18,74.82,8038,1547.36,Hydraulic System,Critical
CRN0019,3.18,33.18,74.82,8038,1547.36,Engine,Critical
CRN0019,3.18,33.18,74.82,8038,1547.36,Structural Components,Critical
CRN0019,3.18,33.18,74.82,8038,1547.36,Control System,Critical
CRN0020,2.18,23.8,79.12,10054,1387.59,Hydraulic System,Critical
CRN0020,2.18,23.8,79.12,10054,1387.59,Engine,Critical
CRN0020,2.18,23.8,79.12,10054,1387.59,Structural Components,Critical
CRN0020,2.18,23.8,79.12,10054,1387.59,Control System,Critical
CRN0021,7.93,30.3,101.7,19769,83.14,Hydraulic System,Critical
CRN0021,7.93,30.3,101.7,19769,83.14,Engine,Critical
CRN0021,7.93,30.3,101.7,19769,83.14,Structural Components,Critical
CRN0021,7.93,30.3,101.7,19769,83.14,Control System,Critical
CRN0022,4.55,31.39,65.76,9877,1313.35,Hydraulic System,Critical
CRN0022,4.55,31.39,65.76,9877,1313.35,Engine,Critical
CRN0022,4.55,31.39,65.76,9877,1313.35,Structural Components,Critical
CRN0022,4.55,31.39,65.76,9877,1313.35,Control System,Critical
CRN0023,5.14,36.8,61.48,3663,1913.98,Hydraulic System,Critical
CRN0023,5.14,36.8,61.48,3663,1913.98,Engine,Critical
CRN0023,5.14,36.8,61.48,3663,1913.98,Structural Components,Critical
CRN0023,5.14,36.8,61.48,3663,1913.98,Control System,Critical
CRN0024,2.15,23.46,87.84,5141,1862.7,Hydraulic System,Critical
CRN0024,2.15,23.46,87.84,5141,1862.7,Engine,Critical
CRN0024,2.15,23.46,87.84,5141,1862.7,Structural Components,Critical
CRN0024,2.15,23.46,87.84,5141,1862.7,Control System,Critical
CRN0025,3.91,15.0,73.21,11392,1178.81,Hydraulic System,Critical
CRN0025,3.91,15.0,73.21,11392,1178.81,Engine,Critical
CRN0025,3.91,15.0,73.21,11392,1178.81,Structural Components,Critical
CRN0025,3.91,15.0,73.21,11392,1178.81,Control System,Critical
CRN0026,5.22,30.92,76.82,8126,1432.67,Hydraulic System,Critical
CRN0026,5.22,30.92,76.82,8126,1432.67,Engine,Critical
CRN0026,5.22,30.92,76.82,8126,1432.67,Structural Components,Critical
CRN0026,5.22,30.92,76.82,8126,1432.67,Control System,Critical
CRN0027,2.7,39.0,72.19,14023,978.42,Hydraulic System,Critical
CRN0027,2.7,39.0,72.19,14023,978.42,Engine,Critical
CRN0027,2.7,39.0,72.19,14023,978.42,Structural Components,Critical
CRN0027,2.7,39.0,72.19,14023,978.42,Control System,Critical
CRN0028,5.75,36.19,77.4,19728,244.83,Hydraulic System,Critical
CRN0028,5.75,36.19,77.4,19728,244.83,Engine,Critical
CRN0028,5.75,36.19,77.4,19728,244.83,Structural Components,Critical
CRN0028,5.75,36.19,77.4,19728,244.83,Control System,Critical
CRN0029,3.8,31.05,95.99,17524,525.69,Hydraulic System,Critical
CRN0029,3.8,31.05,95.99,17524,525.69,Engine,Critical
CRN0029,3.8,31.05,95.99,17524,525.69,Structural Components,Critical
CRN0029,3.8,31.05,95.99,17524,525.69,Control System,Critical
CRN0030,4.42,27.54,88.02,18757,387.43,Hydraulic System,Critical
CRN0030,4.42,27.54,88.02,18757,387.43,Engine,Critical
CRN0030,4.42,27.54,88.02,18757,387.43,Structural Components,Critical
CRN0030,4.42,27.54,88.02,18757,387.43,Control System,Critical
CRN0031,3.8,34.04,88.62,3729,1920.03,Hydraulic System,Critical
CRN0031,3.8,34.04,88.62,3729,1920.03,Engine,Critical
CRN0031,3.8,34.04,88.62,3729,1920.03,Structural Components,Critical
CRN0031,3.8,34.04,88.62,3729,1920.03,Control System,Critical
CRN0032,8.7,25.13,65.84,2214,1871.7,Hydraulic System,Critical
CRN0032,8.7,25.13,65.84,2214,1871.7,Engine,Critical
CRN0032,8.7,25.13,65.84,2214,1871.7,Structural Components,Critical
CRN0032,8.7,25.13,65.84,2214,1871.7,Control System,Critical
CRN0033,4.97,32.38,68.49,1777,2096.67,Hydraulic System,Bad
CRN0033,4.97,32.38,68.49,1777,2096.67,Engine,Bad
CRN0033,4.97,32.38,68.49,1777,2096.67,Structural Components,Bad
CRN0033,4.97,32.38,68.49,1777,2096.67,Control System,Bad
CRN0034,2.88,32.53,60.0,3194,2076.37,Hydraulic System,Critical
CRN0034,2.88,32.53,60.0,3194,2076.37,Engine,Critical
CRN0034,2.88,32.53,60.0,3194,2076.37,Structural Components,Critical
CRN0034,2.88,32.53,60.0,3194,2076.37,Control System,Critical
CRN0035,6.65,35.3,71.91,2384,1945.53,Hydraulic System,Critical
CRN0035,6.65,35.3,71.91,2384,1945.53,Engine,Critical
CRN0035,6.65,35.3,71.91,2384,1945.53,Structural Components,Critical
CRN0035,6.65,35.3,71.91,2384,1945.53,Control System,Critical
CRN0036,2.56,43.8,89.57,5152,1837.75,Hydraulic System,Critical
CRN0036,2.56,43.8,89.57,5152,1837.75,Engine,Critical
CRN0036,2.56,43.8,89.57,5152,1837.75,Structural Components,Critical
CRN0036,2.56,43.8,89.57,5152,1837.75,Control System,Critical
CRN0037,5.42,31.96,85.17,18073,411.47,Hydraulic System,Critical
CRN0037,5.42,31.96,85.17,18073,411.47,Engine,Critical
CRN0037,5.42,31.96,85.17,18073,411.47,Structural Components,Critical
CRN0037,5.42,31.96,85.17,18073,411.47,Control System,Critical
CRN0038,1.08,27.46,77.78,19004,550.0,Hydraulic System,Critical
CRN0038,1.08,27.46,77.78,19004,550.0,Engine,Critical
CRN0038,1.08,27.46,77.78,19004,550.0,Structural Components,Critical
CRN0038,1.08,27.46,77.78,19004,550.0,Control System,Critical
CRN0039,2.34,29.87,79.78,12147,1168.56,Hydraulic System,Critical
CRN0039,2.34,29.87,79.78,12147,1168.56,Engine,Critical
CRN0039,2.34,29.87,79.78,12147,1168.56,Structural Components,Critical
CRN0039,2.34,29.87,79.78,12147,1168.56,Control System,Critical
CRN0040,5.39,21.15,73.11,794,2164.69,Hydraulic System,Good
CRN0040,5.39,21.15,73.11,794,2164.69,Engine,Good
CRN0040,5.39,21.15,73.11,794,2164.69,Structural Components,Good
CRN0040,5.39,21.15,73.11,794,2164.69,Control System,Good
CRN0041,6.48,26.53,82.05,15688,603.26,Hydraulic System,Critical
CRN0041,6.48,26.53,82.05,15688,603.26,Engine,Critical
CRN0041,6.48,26.53,82.05,15688,603.26,Structural Components,Critical
CRN0041,6.48,26.53,82.05,15688,603.26,Control System,Critical
CRN0042,5.34,27.95,87.66,13155,902.05,Hydraulic System,Critical
CRN0042,5.34,27.95,87.66,13155,902.05,Engine,Critical
CRN0042,5.34,27.95,87.66,13155,902.05,Structural Components,Critical
CRN0042,5.34,27.95,87.66,13155,902.05,Control System,Critical
CRN0043,4.77,27.38,63.84,16180,675.88,Hydraulic System,Critical
CRN0043,4.77,27.38,63.84,16180,675.88,Engine,Critical
CRN0043,4.77,27.38,63.84,16180,675.88,Structural Components,Critical
CRN0043,4.77,27.38,63.84,16180,675.88,Control System,Critical
CRN0044,4.4,30.76,83.0,6804,1593.72,Hydraulic System,Critical
CRN0044,4.4,30.76,83.0,6804,1593.72,Engine,Critical
CRN0044,4.4,30.76,83.0,6804,1593.72,Structural Components,Critical
CRN0044,4.4,30.76,83.0,6804,1593.72,Control System,Critical
CRN0045,2.04,25.89,89.32,7468,1632.4,Hydraulic System,Critical
CRN0045,2.04,25.89,89.32,7468,1632.4,Engine,Critical
CRN0045,2.04,25.89,89.32,7468,1632.4,Structural Components,Critical
CRN0045,2.04,25.89,89.32,7468,1632.4,Control System,Critical
CRN0046,3.56,35.61,75.85,2071,2123.19,Hydraulic System,Bad
CRN0046,3.56,35.61,75.85,2071,2123.19,Engine,Bad
CRN0046,3.56,35.61,75.85,2071,2123.19,Structural Components,Bad
CRN0046,3.56,35.61,75.85,2071,2123.19,Control System,Bad
CRN0047,4.08,30.0,87.01,14693,812.75,Hydraulic System,Critical
CRN0047,4.08,30.0,87.01,14693,812.75,Engine,Critical
CRN0047,4.08,30.0,87.01,14693,812.75,Structural Components,Critical
CRN0047,4.08,30.0,87.01,14693,812.75,Control System,Critical
CRN0048,7.11,29.95,108.15,8155,1272.49,Hydraulic System,Critical
CRN0048,7.11,29.95,108.15,8155,1272.49,Engine,Critical
CRN0048,7.11,29.95,108.15,8155,1272.49,Structural Components,Critical
CRN0048,7.11,29.95,108.15,8155,1272.49,Control System,Critical
CRN0049,5.69,28.36,78.96,11541,1063.63,Hydraulic System,Critical
CRN0049,5.69,28.36,78.96,11541,1063.63,Engine,Critical
CRN0049,5.69,28.36,78.96,11541,1063.63,Structural Components,Critical
CRN0049,5.69,28.36,78.96,11541,1063.63,Control System,Critical
CRN0050,1.47,30.78,83.93,14777,940.74,Hydraulic System,Critical
CRN0050,1.47,30.78,83.93,14777,940.74,Engine,Critical
CRN0050,1.47,30.78,83.93,14777,940.74,Structural Components,Critical
CRN0050,1.47,30.78,83.93,14777,940.74,Control System,Critical
CRN0051,5.65,34.13,72.62,1968,2035.55,Hydraulic System,Bad
CRN0051,5.65,34.13,72.62,1968,2035.55,Engine,Bad
CRN0051,5.65,34.13,72.62,1968,2035.55,Structural Components,Bad
CRN0051,5.65,34.13,72.62,1968,2035.55,Control System,Bad
CRN0052,4.23,25.66,81.81,18155,469.38,Hydraulic System,Critical
CRN0052,4.23,25.66,81.81,18155,469.38,Engine,Critical
CRN0052,4.23,25.66,81.81,18155,469.38,Structural Components,Critical
CRN0052,4.23,25.66,81.81,18155,469.38,Control System,Critical
CRN0053,3.65,26.71,84.6,1828,2125.69,Hydraulic System,Bad
CRN0053,3.65,26.71,84.6,1828,2125.69,Engine,Bad
CRN0053,3.65,26.71,84.6,1828,2125.69,Structural Components,Bad
CRN0053,3.65,26.71,84.6,1828,2125.69,Control System,Bad
CRN0054,6.22,28.48,81.95,7732,1411.74,Hydraulic System,Critical
CRN0054,6.22,28.48,81.95,7732,1411.74,Engine,Critical
CRN0054,6.22,28.48,81.95,7732,1411.74,Structural Components,Critical
CRN0054,6.22,28.48,81.95,7732,1411.74,Control System,Critical
CRN0055,7.06,23.27,69.8,12143,952.99,Hydraulic System,Critical
CRN0055,7.06,23.27,69.8,12143,952.99,Engine,Critical
CRN0055,7.06,23.27,69.8,12143,952.99,Structural Components,Critical
CRN0055,7.06,23.27,69.8,12143,952.99,Control System,Critical
CRN0056,6.86,25.9,82.06,6503,1502.44,Hydraulic System,Critical
CRN0056,6.86,25.9,82.06,6503,1502.44,Engine,Critical
CRN0056,6.86,25.9,82.06,6503,1502.44,Structural Components,Critical
CRN0056,6.86,25.9,82.06,6503,1502.44,Control System,Critical
CRN0057,3.32,27.62,94.62,15832,721.48,Hydraulic System,Critical
CRN0057,3.32,27.62,94.62,15832,721.48,Engine,Critical
CRN0057,3.32,27.62,94.62,15832,721.48,Structural Components,Critical
CRN0057,3.32,27.62,94.62,15832,721.48,Control System,Critical
CRN0058,4.38,34.37,84.49,18626,409.35,Hydraulic System,Critical
CRN0058,4.38,34.37,84.49,18626,409.35,Engine,Critical
CRN0058,4.38,34.37,84.49,18626,409.35,Structural Components,Critical
CRN0058,4.38,34.37,84.49,18626,409.35,Control System,Critical
CRN0059,5.66,31.31,89.62,9440,1253.63,Hydraulic System,Critical
CRN0059,5.66,31.31,89.62,9440,1253.63,Engine,Critical
CRN0059,5.66,31.31,89.62,9440,1253.63,Structural Components,Critical
CRN0059,5.66,31.31,89.62,9440,1253.63,Control System,Critical
CRN0060,6.95,30.97,77.63,6284,1528.79,Hydraulic System,Critical
CRN0060,6.95,30.97,77.63,6284,1528.79,Engine,Critical
CRN0060,6.95,30.97,77.63,6284,1528.79,Structural Components,Critical
CRN0060,6.95,30.97,77.63,6284,1528.79,Control System,Critical
CRN0061,4.04,34.25,87.5,353,2247.62,Hydraulic System,Good
CRN0061,4.04,34.25,87.5,353,2247.62,Engine,Good
CRN0061,4.04,34.25,87.5,353,2247.62,Structural Components,Good
CRN0061,4.04,34.25,87.5,353,2247.62,Control System,Good
CRN0062,4.63,29.31,82.79,4202,1842.78,Hydraulic System,Critical
CRN0062,4.63,29.31,82.79,4202,1842.78,Engine,Critical
CRN0062,4.63,29.31,82.79,4202,1842.78,Structural Components,Critical
CRN0062,4.63,29.31,82.79,4202,1842.78,Control System,Critical
CRN0063,2.79,31.95,70.49,3642,2015.45,Hydraulic System,Critical
CRN0063,2.79,31.95,70.49,3642,2015.45,Engine,Critical
CRN0063,2.79,31.95,70.49,3642,2015.45,Structural Components,Critical
CRN0063,2.79,31.95,70.49,3642,2015.45,Control System,Critical
CRN0064,2.61,29.48,83.19,19259,437.35,Hydraulic System,Critical
CRN0064,2.61,29.48,83.19,19259,437.35,Engine,Critical
CRN0064,2.61,29.48,83.19,19259,437.35,Structural Components,Critical
CRN0064,2.61,29.48,83.19,19259,437.35,Control System,Critical
CRN0065,6.63,31.33,70.08,6312,1557.38,Hydraulic System,Critical
CRN0065,6.63,31.33,70.08,6312,1557.38,Engine,Critical
CRN0065,6.63,31.33,70.08,6312,1557.38,Structural Components,Critical
CRN0065,6.63,31.33,70.08,6312,1557.38,Control System,Critical
CRN0066,7.71,27.09,73.67,4737,1653.33,Hydraulic System,Critical
CRN0066,7.71,27.09,73.67,4737,1653.33,Engine,Critical
CRN0066,7.71,27.09,73.67,4737,1653.33,Structural Components,Critical
CRN0066,7.71,27.09,73.67,4737,1653.33,Control System,Critical
CRN0067,4.86,17.81,81.89,11625,1090.91,Hydraulic System,Critical
CRN0067,4.86,17.81,81.89,11625,1090.91,Engine,Critical
CRN0067,4.86,17.81,81.89,11625,1090.91,Structural Components,Critical
CRN0067,4.86,17.81,81.89,11625,1090.91,Control System,Critical
CRN0068,7.01,29.33,82.97,11571,986.6,Hydraulic System,Critical
CRN0068,7.01,29.33,82.97,11571,986.6,Engine,Critical
CRN0068,7.01,29.33,82.97,11571,986.6,Structural Components,Critical
CRN0068,7.01,29.33,82.97,11571,986.6,Control System,Critical
CRN0069,5.72,37.11,68.11,12600,977.62,Hydraulic System,Critical
CRN0069,5.72,37.11,68.11,12600,977.62,Engine,Critical
CRN0069,5.72,37.11,68.11,12600,977.62,Structural Components,Critical
CRN0069,5.72,37.11,68.11,12600,977.62,Control System,Critical
CRN0070,3.71,34.63,90.54,15347,758.73,Hydraulic System,Critical
CRN0070,3.71,34.63,90.54,15347,758.73,Engine,Critical
CRN0070,3.71,34.63,90.54,15347,758.73,Structural Components,Critical
CRN0070,3.71,34.63,90.54,15347,758.73,Control System,Critical
CRN0071,5.72,34.83,85.72,10632,1139.22,Hydraulic System,Critical
CRN0071,5.72,34.83,85.72,10632,1139.22,Engine,Critical
CRN0071,5.72,34.83,85.72,10632,1139.22,Structural Components,Critical
CRN0071,5.72,34.83,85.72,10632,1139.22,Control System,Critical
CRN0072,8.08,36.18,72.95,13618,748.49,Hydraulic System,Critical
CRN0072,8.08,36.18,72.95,13618,748.49,Engine,Critical
CRN0072,8.08,36.18,72.95,13618,748.49,Structural Components,Critical
CRN0072,8.08,36.18,72.95,13618,748.49,Control System,Critical
CRN0073,4.93,30.44,64.62,6576,1626.73,Hydraulic System,Critical
CRN0073,4.93,30.44,64.62,6576,1626.73,Engine,Critical
CRN0073,4.93,30.44,64.62,6576,1626.73,Structural Components,Critical
CRN0073,4.93,30.44,64.62,6576,1626.73,Control System,Critical
CRN0074,8.13,30.99,78.55,19632,133.23,Hydraulic System,Critical
CRN0074,8.13,30.99,78.55,19632,133.23,Engine,Critical
CRN0074,8.13,30.99,78.55,19632,133.23,Structural Components,Critical
CRN0074,8.13,30.99,78.55,19632,133.23,Control System,Critical
CRN0075,1.0,26.91,75.54,19843,474.62,Hydraulic System,Critical
CRN0075,1.0,26.91,75.54,19843,474.62,Engine,Critical
CRN0075,1.0,26.91,75.54,19843,474.62,Structural Components,Critical
CRN0075,1.0,26.91,75.54,19843,474.62,Control System,Critical
CRN0076,6.64,28.42,81.13,1104,2055.15,Hydraulic System,Good
CRN0076,6.64,28.42,81.13,1104,2055.15,Engine,Good
CRN0076,6.64,28.42,81.13,1104,2055.15,Structural Components,Good
CRN0076,6.64,28.42,81.13,1104,2055.15,Control System,Good
CRN0077,5.17,33.08,76.37,10386,1209.96,Hydraulic System,Critical
CRN0077,5.17,33.08,76.37,10386,1209.96,Engine,Critical
CRN0077,5.17,33.08,76.37,10386,1209.96,Structural Components,Critical
CRN0077,5.17,33.08,76.37,10386,1209.96,Control System,Critical
CRN0078,4.4,36.02,60.0,4817,1838.2,Hydraulic System,Critical
CRN0078,4.4,36.02,60.0,4817,1838.2,Engine,Critical
CRN0078,4.4,36.02,60.0,4817,1838.2,Structural Components,Critical
CRN0078,4.4,36.02,60.0,4817,1838.2,Control System,Critical
CRN0079,5.18,29.3,76.12,3371,1911.49,Hydraulic System,Critical
CRN0079,5.18,29.3,76.12,3371,1911.49,Engine,Critical
CRN0079,5.18,29.3,76.12,3371,1911.49,Structural Components,Critical
CRN0079,5.18,29.3,76.12,3371,1911.49,Control System,Critical
CRN0080,1.02,27.75,76.94,12814,1173.47,Hydraulic System,Critical
CRN0080,1.02,27.75,76.94,12814,1173.47,Engine,Critical
CRN0080,1.02,27.75,76.94,12814,1173.47,Structural Components,Critical
CRN0080,1.02,27.75,76.94,12814,1173.47,Control System,Critical
CRN0081,4.56,30.0,86.34,309,2228.39,Hydraulic System,Good
CRN0081,4.56,30.0,86.34,309,2228.39,Engine,Good
CRN0081,4.56,30.0,86.34,309,2228.39,Structural Components,Good
CRN0081,4.56,30.0,86.34,309,2228.39,Control System,Good
CRN0082,5.71,33.01,73.02,5639,1664.35,Hydraulic System,Critical
CRN0082,5.71,33.01,73.02,5639,1664.35,Engine,Critical
CRN0082,5.71,33.01,73.02,5639,1664.35,Structural Components,Critical
CRN0082,5.71,33.01,73.02,5639,1664.35,Control System,Critical
CRN0083,7.96,22.78,96.79,16637,404.94,Hydraulic System,Critical
CRN0083,7.96,22.78,96.79,16637,404.94,Engine,Critical
CRN0083,7.96,22.78,96.79,16637,404.94,Structural Components,Critical
CRN0083,7.96,22.78,96.79,16637,404.94,Control System,Critical
CRN0084,3.96,18.52,60.88,8706,1469.46,Hydraulic System,Critical
CRN0084,3.96,18.52,60.88,8706,1469.46,Engine,Critical
CRN0084,3.96,18.52,60.88,8706,1469.46,Structural Components,Critical
CRN0084,3.96,18.52,60.88,8706,1469.46,Control System,Critical
CRN0085,3.38,27.25,93.11,11716,1133.03,Hydraulic System,Critical
CRN0085,3.38,27.25,93.11,11716,1133.03,Engine,Critical
CRN0085,3.38,27.25,93.11,11716,1133.03,Structural Components,Critical
CRN0085,3.38,27.25,93.11,11716,1133.03,Control System,Critical
CRN0086,4.0,23.9,77.76,1384,2166.26,Hydraulic System,Bad
CRN0086,4.0,23.9,77.76,1384,2166.26,Engine,Bad
CRN0086,4.0,23.9,77.76,1384,2166.26,Structural Components,Bad
CRN0086,4.0,23.9,77.76,1384,2166.26,Control System,Bad
CRN0087,6.83,27.46,88.6,3248,1816.47,Hydraulic System,Critical
CRN0087,6.83,27.46,88.6,3248,1816.47,Engine,Critical
CRN0087,6.83,27.46,88.6,3248,1816.47,Structural Components,Critical
CRN0087,6.83,27.46,88.6,3248,1816.47,Control System,Critical
CRN0088,5.66,29.26,80.8,868,2128.73,Hydraulic System,Good
CRN0088,5.66,29.26,80.8,868,2128.73,Engine,Good
CRN0088,5.66,29.26,80.8,868,2128.73,Structural Components,Good
CRN0088,5.66,29.26,80.8,868,2128.73,Control System,Good
CRN0089,3.94,27.73,91.4,5707,1709.48,Hydraulic System,Critical
CRN0089,3.94,27.73,91.4,5707,1709.48,Engine,Critical
CRN0089,3.94,27.73,91.4,5707,1709.48,Structural Components,Critical
CRN0089,3.94,27.73,91.4,5707,1709.48,Control System,Critical
CRN0090,6.03,37.26,76.13,19686,237.82,Hydraulic System,Critical
CRN0090,6.03,37.26,76.13,19686,237.82,Engine,Critical
CRN0090,6.03,37.26,76.13,19686,237.82,Structural Components,Critical
CRN0090,6.03,37.26,76.13,19686,237.82,Control System,Critical
CRN0091,5.19,31.63,69.01,19271,335.16,Hydraulic System,Critical
CRN0091,5.19,31.63,69.01,19271,335.16,Engine,Critical
CRN0091,5.19,31.63,69.01,19271,335.16,Structural Components,Critical
CRN0091,5.19,31.63,69.01,19271,335.16,Control System,Critical
CRN0092,6.94,31.5,94.21,18694,255.33,Hydraulic System,Critical
CRN0092,6.94,31.5,94.21,18694,255.33,Engine,Critical
CRN0092,6.94,31.5,94.21,18694,255.33,Structural Components,Critical
CRN0092,6.94,31.5,94.21,18694,255.33,Control System,Critical
CRN0093,3.6,33.11,78.87,7499,1572.57,Hydraulic System,Critical
CRN0093,3.6,33.11,78.87,7499,1572.57,Engine,Critical
CRN0093,3.6,33.11,78.87,7499,1572.57,Structural Components,Critical
CRN0093,3.6,33.11,78.87,7499,1572.57,Control System,Critical
CRN0094,4.34,24.31,82.22,458,2232.54,Hydraulic System,Good
CRN0094,4.34,24.31,82.22,458,2232.54,Engine,Good
CRN0094,4.34,24.31,82.22,458,2232.54,Structural Components,Good
CRN0094,4.34,24.31,82.22,458,2232.54,Control System,Good
CRN0095,4.22,35.2,92.35,949,2169.62,Hydraulic System,Good
CRN0095,4.22,35.2,92.35,949,2169.62,Engine,Good
CRN0095,4.22,35.2,92.35,949,2169.62,Structural Components,Good
CRN0095,4.22,35.2,92.35,949,2169.62,Control System,Good
CRN0096,2.07,29.62,69.68,7598,1657.19,Hydraulic System,Critical
CRN0096,2.07,29.62,69.68,7598,1657.19,Engine,Critical
CRN0096,2.07,29.62,69.68,7598,1657.19,Structural Components,Critical
CRN0096,2.07,29.62,69.68,7598,1657.19,Control System,Critical
CRN0097,5.59,33.35,85.95,4622,1746.28,Hydraulic System,Critical
CRN0097,5.59,33.35,85.95,4622,1746.28,Engine,Critical
CRN0097,5.59,33.35,85.95,4622,1746.28,Structural Components,Critical
CRN0097,5.59,33.35,85.95,4622,1746.28,Control System,Critical
CRN0098,5.52,24.64,74.1,19028,332.89,Hydraulic System,Critical
CRN0098,5.52,24.64,74.1,19028,332.89,Engine,Critical
CRN0098,5.52,24.64,74.1,19028,332.89,Structural Components,Critical
CRN0098,5.52,24.64,74.1,19028,332.89,Control System,Critical
CRN0099,5.01,22.23,78.68,12873,964.83,Hydraulic System,Critical
CRN0099,5.01,22.23,78.68,12873,964.83,Engine,Critical
CRN0099,5.01,22.23,78.68,12873,964.83,Structural Components,Critical
